x1	x2	rgb
0.4721788689963213	-1.3732519588003833	(0.8975009337548451, 0.554118546921497, 1.0)
0.4552071962646566	-1.3599748034613182	(0.89181901294193, 0.5604062119061295, 1.0)
0.4504795962144063	-1.3358437213445566	(0.9022011406448353, 0.5603033849433336, 1.0)
0.44181147355843275	-1.3863540398371077	(0.864790352797426, 0.5685852566904502, 1.0)
0.4620102485060569	-1.3537026088265787	(0.900930396141314, 0.5568440386692924, 1.0)
0.4505572653327185	-1.3573157170914059	(0.8896754364160272, 0.56219538781376, 1.0)
0.4570329387058745	-1.3559565029515008	(0.8956552694196469, 0.5592419637542597, 1.0)
0.4753278239431088	-1.3678191523055927	(0.9032131709402023, 0.5522052925354076, 1.0)
0.46642365678687975	-1.376020668057115	(0.8912363107144977, 0.5569335329160088, 1.0)
0.4719459043759207	-1.360732119459553	(0.9046840173461127, 0.55306676842309, 1.0)
0.4548796183920599	-1.3517619467727997	(0.8964105256989239, 0.559807250083719, 1.0)
0.4903240762345199	-1.357458845183817	(0.9209635707371513, 0.5444269573828217, 1.0)
0.4445954478422998	-1.3714929966286549	(0.8762953862546087, 0.5660519012978484, 1.0)
0.454264173435005	-1.3256867322192087	(0.9109728191319156, 0.5577359610614195, 1.0)
0.45207099591395833	-1.3689297287748248	(0.8839290192973699, 0.5625854689915222, 1.0)
0.46057329889163073	-1.3504604964741833	(0.9016852437850633, 0.5571846102949597, 1.0)
0.47281473442835503	-1.3562618020533066	(0.9079673014111312, 0.5522657775106012, 1.0)
0.464241030765293	-1.40349217416943	(0.8726120466481366, 0.5604349379612535, 1.0)
0.46081929044141445	-1.383824069903043	(0.8819765275843029, 0.5601215007368496, 1.0)
0.4490277166253602	-1.361063320826527	(0.8862074249188358, 0.5631974892028484, 1.0)
0.47435521947378917	-1.3609302064232562	(0.9064703694593683, 0.5520047726915255, 1.0)
0.45530386149417246	-1.3937344235650706	(0.8713344776369603, 0.5634392065676515, 1.0)
0.4453874074854475	-1.3806371042039602	(0.871311709306849, 0.5665354689988218, 1.0)
0.45360053514315196	-1.372400678887727	(0.883066756498348, 0.562234378888593, 1.0)
0.4633047259893769	-1.3716648330037429	(0.8913401011224924, 0.5579122488355889, 1.0)
0.46340813440348744	-1.3869018217193299	(0.882201888137735, 0.5592670670324533, 1.0)
0.4676323147576989	-1.4012534081468622	(0.8768047012014655, 0.5587345105443842, 1.0)
0.45688994873565336	-1.3341972329526375	(0.9081761215072767, 0.5573417165700355, 1.0)
0.47022323390001763	-1.391249208467575	(0.8850880980698301, 0.5566580783456868, 1.0)
0.4665657089442744	-1.387653745530377	(0.8843109428991628, 0.5579442042805941, 1.0)
0.46736081855959566	-1.386588755847484	(0.8856056696859828, 0.5574941607499021, 1.0)
0.45715074072580014	-1.3637540270007473	(0.8911267310037073, 0.5598975909287758, 1.0)
0.45312334809214405	-1.3650011190302618	(0.8871442487902874, 0.5617714993511135, 1.0)
0.4603717256396887	-1.3774275908065086	(0.8855050125853597, 0.5597314223710705, 1.0)
0.4704472112975951	-1.4238203965523002	(0.8648918293178965, 0.5596031599316287, 1.0)
